[PASS] invariant_attestationGuardsHold() (runs: 256, calls: 128000, reverts: 1348)
[PASS] invariant_attestorHasNoAuthority() (runs: 256, calls: 128000, reverts: 1351)
[PASS] invariant_cedantCeilingSpansEveryVault() (runs: 256, calls: 128000, reverts: 1360)
[PASS] invariant_claimOnlyByOwningCedant() (runs: 256, calls: 128000, reverts: 1358)
[PASS] invariant_claimStateMachine() (runs: 256, calls: 128000, reverts: 1356)
[PASS] invariant_complianceGateHolds() (runs: 256, calls: 128000, reverts: 1337)
[PASS] invariant_concentrationLimits() (runs: 256, calls: 128000, reverts: 1345)
[PASS] invariant_curatorStaysInsideUnderwriting() (runs: 256, calls: 128000, reverts: 1346)
[PASS] invariant_governanceStaysOutOfTheBook() (runs: 256, calls: 128000, reverts: 1338)
[PASS] invariant_keeperCannotRedirectPayout() (runs: 256, calls: 128000, reverts: 1341)
[PASS] invariant_kycRevocationNeverTrapsFunds() (runs: 256, calls: 128000, reverts: 1346)
[PASS] invariant_navFreshnessGate() (runs: 256, calls: 128000, reverts: 1352)
[PASS] invariant_noDilutionOnDeposit() (runs: 256, calls: 128000, reverts: 1341)
[PASS] invariant_onRiskImpliesUnderwritten() (runs: 256, calls: 128000, reverts: 1341)
[PASS] invariant_onlyCuratorsCreateRegisteredVaults() (runs: 256, calls: 128000, reverts: 1344)
[PASS] invariant_premiumDepositorNeverWithdraws() (runs: 256, calls: 128000, reverts: 1347)
[PASS] invariant_premiumLedgerAgreesWithPayer() (runs: 256, calls: 128000, reverts: 1343)
[PASS] invariant_roleSeparation() (runs: 256, calls: 128000, reverts: 1333)
[PASS] invariant_sentinelNeverMovesFunds() (runs: 256, calls: 128000, reverts: 1347)
[PASS] invariant_timelockCannotBeJumped() (runs: 256, calls: 128000, reverts: 1340)
[PASS] invariant_uprNeverExceedsPremiumCollected() (runs: 256, calls: 128000, reverts: 1330)
Suite result: ok. 21 passed; 0 failed; 0 skipped; finished in 492.80s (8078.63s CPU time)
